DateTime,internal_txn_id,platform_txn_id,Venue,Transaction Type,Base Asset,Base Asset Amount,Quote Asset,Quote Asset Amount,Price Paid,Txn Fee Asset,Txn Fee Paid Quantity,Txn_Total,NOTES
2022-09-08T20:30:17.000Z,1010,ETH_0x97cb217d85d2014242b964be2be38aa5e5f1b742645816944c5cb71add9cc90d,COMPOUND,REDEEM,COMP,0.29,USD,0.00,0.00,,,,1of1 Redeem COMP
2022-09-08T20:30:17.000Z,1010,ETH_0x97cb217d85d2014242b964be2be38aa5e5f1b742645816944c5cb71add9cc90d,COMPOUND,REDEEM,ETH,0.01,USD,0.00,0.00,,,,"1of1 Redeem ETH (Deposit 33 ETH, Withdraw 33.01)"
2022-11-09T04:06:08.000Z,1379,SOL_3reHxK9NpuvnKipi9k9ofujpfbttkvNMviKnmr41aTfeEjbzLADBq89CuSHVbUcn5cuaGhJPMY2mExT7gNgg3SWF,CB Pro,BUY,USDC,2249.95,USD,2249.95,1.00,,,,USDC Withdrawal off Coinbase Pro
2022-12-25T06:05:20.000Z,2017,2TpULZxSL7quYUcjQnshvkdsYbbGAVCtaJFEydof3efKMA5M3poqehwjytVKygPX6om38ovHjzmwevwTE37Cp542,N/A,AIRDROP,BONK,25773195876.28,USD,0.00,0.00,SOL,0.000,,Bonk Airdrop
2023-01-02T20:55:41.000Z,2018,3CxW9MhhT1uNADCTVyz2baCjKUV9p3BCw6zSu2iDURXzAxvRF3aQ9TNewT19M24gb9AqnevmEdMJcnTdYRNR3AiH,ORCA,SELL (Token Swap),BONK,6886597938.00,USD,5324.84,0.00,SOL,,,1of2 Sell BONK for SOL
2023-01-02T20:55:41.000Z,2018,3CxW9MhhT1uNADCTVyz2baCjKUV9p3BCw6zSu2iDURXzAxvRF3aQ9TNewT19M24gb9AqnevmEdMJcnTdYRNR3AiH,ORCA,BUY (Token Swap),SOL,470.39,USD,5324.84,11.32,SOL,,,2of2 Sell BONK for SOL
2023-01-03T23:34:09.000Z,2019,5VLV38dqVt5ATHBD2nTnPVREtwPSBKfSr6XAfnrDa4RnrRs2ew6WzfEcBhK4wJHjjwB97tp12nf4BJ7t1WyNGTsg,ORCA,BUY,BONK,1584951089.13,USD,2000.00,0.00,SOL,,,1of2 Sell BONK for USDC
2023-01-03T23:34:09.000Z,2019,5VLV38dqVt5ATHBD2nTnPVREtwPSBKfSr6XAfnrDa4RnrRs2ew6WzfEcBhK4wJHjjwB97tp12nf4BJ7t1WyNGTsg,ORCA,SELL,USDC,2000.00,USD,2000.00,1.00,SOL,,,2of2 Sell BONK for USDC
2023-01-04T14:22:02.000Z,3004,,Coinbase,TRANSFER - RECEIVE,ETH,2.250000000,USD,2813.74,"1,250.55",,,,Received 2.2500 ETH from an external account
2023-01-04T23:27:21.000Z,2020,3jyYjy5tQoyZYzcCmJgTbUfi77UhFe8yUwWF1mLGSPg15ovUMZx2Mb4bfjNhSD1o6NK6B1GechMAmVLksmhkDJvC,ORCA,SELL,BONK,1584951089.0,USD,5071.58,0.00,SOL,,,1of2 Sell BONK for USDC
